REF,"ANCIENNE REFERENCE SAP 
(ne pas utiliser pour commande) ",CODE EAN,SEGMENT PRODUIT ,SOUS SEGMENT PRODUIT,MARQUE,UNIVERS,GAMME,DESIGNATION,TAILLE,COULEUR,PCB,Statut, PPR TTC 2025, PAHT Brut 2025, PA HT remisé (20%)
1006827,75001-875-0,8003150502631,Casseroles et poêles,Casseroles et poêles aluminium,BALLARINI,CUISSON,ALBA,Poêle 20 cm Alba - Revêtement PTFE,20,Noir,2,Actuel,"79,95 €","61,45 €","  49,16 € "
1006828,75001-876-0,8003150502648,Casseroles et poêles,Casseroles et poêles aluminium,BALLARINI,CUISSON,ALBA,Poêle 24 cm Alba - Revêtement PTFE,24,Noir,2,Actuel,"89,95 €","69,14 €","  55,31 € "
1006829,75001-877-0,8003150502655,Casseroles et poêles,Casseroles et poêles aluminium,BALLARINI,CUISSON,ALBA,Poêle 28 cm Alba - Revêtement PTFE,28,Noir,2,Actuel,"99,95 €","76,82 €","  61,46 € "
1006830,75001-878-0,8003150502662,Casseroles et poêles,Casseroles et poêles aluminium,BALLARINI,CUISSON,ALBA,Poêle 32 cm Alba - Revêtement PTFE,32,Noir,2,Actuel,"109,00 €","83,78 €","  67,02 € "
1007032,75002-808-0,8003150508039,Casseroles et poêles,Casseroles et poêles aluminium,BALLARINI,CUISSON,SALINA,Poêle 20 cm Salina - Revêtement PTFE,20,Gris pierre,2,Actuel,"73,95 €","56,84 €","  45,47 € "
1007042,75002-820-0,8003150508046,Casseroles et poêles,Casseroles et poêles aluminium,BALLARINI,CUISSON,SALINA,Poêle 24 cm Salina - Revêtement PTFE,24,Gris pierre,2,Actuel,"83,95 €","64,52 €","  51,62 € "
1007043,75002-822-0,8003150508060,Casseroles et poêles,Casseroles et poêles aluminium,BALLARINI,CUISSON,SALINA,Poêle 28 cm Salina - Revêtement PTFE,28,Gris pierre,2,Actuel,"93,95 €","72,21 €","  57,77 € "
1007045,75002-824-0,8003150508077,Casseroles et poêles,Casseroles et poêles aluminium,BALLARINI,CUISSON,SALINA,Poêle 32 cm Salina - Revêtement PTFE,32,Gris pierre,2,Actuel,"104,00 €","79,93 €","  63,94 € "
1007038,75002-814-0,8003150508183,Casseroles et poêles,Casseroles et poêles aluminium,BALLARINI,CUISSON,SALINA,Poêle haute 28 cm Salina - Revêtement PTFE,28,Gris pierre,2,Actuel,"98,95 €","76,05 €","  60,84 € "
1007036,75002-812-0,8003150508190,Casseroles et poêles,Casseroles et poêles aluminium,BALLARINI,CUISSON,SALINA,Poêle haute 28 cm avec couvercle Salina - Revêtement PTFE,28,Gris pierre,2,Actuel,"113,95 €","87,58 €","  70,06 € "
1007039,75002-815-0,8003150508152,Casseroles et poêles,Casseroles et poêles aluminium,BALLARINI,CUISSON,SALINA,Wok manche 30 cm Salina - Revêtement PTFE,30,Gris pierre,2,Actuel,"98,95 €","76,05 €","  60,84 € "
1007046,75002-825-0,8003150508084,Casseroles et poêles,Casseroles et poêles aluminium,BALLARINI,CUISSON,SALINA,Gril 28x28 cm Salina - Revêtement PTFE,28,Gris pierre,2,Actuel,"98,95 €","76,05 €","  60,84 € "
1007049,75002-828-0,8003150508091,Casseroles et poêles,Casseroles et poêles aluminium,BALLARINI,CUISSON,SALINA,Faitout avec couvercle 16 cm Salina - Revêtement PTFE,16,Gris pierre,2,Actuel,"93,95 €","72,21 €","  57,77 € "
