REF,"ANCIENNE REFERENCE SAP 
(ne pas utiliser pour commande) ",CODE EAN,SEGMENT PRODUIT ,SOUS SEGMENT PRODUIT,MARQUE,UNIVERS,GAMME,DESIGNATION,TAILLE,COULEUR,PCB,Statut, PPR TTC 2025, PAHT Brut 2025, PA HT remisé (20%)
1002031,34400-131-0,4009839394959,Couteaux,Couteaux avec mitre,MIYABI,COUTEAUX,MIYABI 5000 MCD 67,Shotoh 13 cm MIYABI 5000 MCD 67,130,Brun,1,Actuel,"339,00 €","260,56 €","  208,45 € "
1002035,34401-201-0,4009839394973,Couteaux,Couteaux avec mitre,MIYABI,COUTEAUX,MIYABI 5000 MCD 67,Gyutoh 20 cm MIYABI 5000 MCD 67,200,Brun,1,Actuel,"449,00 €","345,10 €","  276,08 € "
1002037,34401-241-0,4009839395161,Couteaux,Couteaux avec mitre,MIYABI,COUTEAUX,MIYABI 5000 MCD 67,Gyutoh 24 cm MIYABI 5000 MCD 67,240,Brun,1,Actuel,"479,00 €","368,16 €","  294,53 € "
1002039,34404-181-0,4009839395284,Couteaux,Couteaux avec mitre,MIYABI,COUTEAUX,MIYABI 5000 MCD 67,Santoku 18 cm MIYABI 5000 MCD 67,180,Brun,1,Actuel,"449,00 €","345,10 €","  276,08 € "
1002041,34406-241-0,4009839395314,Couteaux,Couteaux avec mitre,MIYABI,COUTEAUX,MIYABI 5000 MCD 67,Couteau à pain 24 cm MIYABI 5000 MCD 67,240,Brun,1,Actuel,"449,00 €","345,10 €","  276,08 € "
1002033,34400-241-0,4009839395000,Couteaux,Couteaux avec mitre,MIYABI,COUTEAUX,MIYABI 5000 MCD 67,Sujihiki 24 cm MIYABI 5000 MCD 67,240,Brun,1,Actuel,"449,00 €","345,10 €","  276,08 € "
1002003,34372-091-0,4009839275920,Couteaux,Couteaux avec mitre,MIYABI,COUTEAUX,MIYABI 5000 MCD ,Shotoh 9 cm MIYABI 5000 MCD,90,Brun,1,Actuel,"269,00 €","206,75 €","  165,40 € "
1002005,34372-131-0,4009839275951,Couteaux,Couteaux avec mitre,MIYABI,COUTEAUX,MIYABI 5000 MCD ,Shotoh 13 cm MIYABI 5000 MCD,130,Brun,1,Actuel,"309,00 €","237,50 €","  190,00 € "
1002023,34381-141-0,4009839408601,Couteaux,Couteaux avec mitre,MIYABI,COUTEAUX,MIYABI 5000 MCD ,Shotoh 14 cm MIYABI 5000MCD,140,Brun,1,Actuel,"319,00 €","245,18 €","  196,14 € "
1002007,34372-161-0,4009839275982,Couteaux,Couteaux avec mitre,MIYABI,COUTEAUX,MIYABI 5000 MCD ,Chutoh 16 cm MIYABI 5000 MCD,160,Brun,1,Actuel,"339,00 €","260,56 €","  208,45 € "
