REF,"OLD_REF",CODE EAN,SEGMENT PRODUIT ,SOUS SEGMENT PRODUIT,MARQUE,UNIVERS,GAMME,DESIGNATION,TAILLE,COULEUR,PCB,Statut, PPR TTC 2025, PAHT Brut 2025, PA HT remisé (20%)
1028926,31820-101-0,4009839676703,Couteaux,Couteaux neutre,ZWILLING,COUTEAUX,ZWILLING® 1731,Couteau à larder et garnir 10 cm TWIN® 1731,100,Brun,1,Actuel,"299,00 €","218,87 €","  175,10 € "
1028955,31820-201-0,4009839676710,Couteaux,Couteaux neutre,ZWILLING,COUTEAUX,ZWILLING® 1731,Couteau à trancher 20 cm TWIN® 1731,200,Brun,1,Actuel,"329,00 €","240,83 €","  192,66 € "
1028925,31821-201-0,4009839676697,Couteaux,Couteaux neutre,ZWILLING,COUTEAUX,ZWILLING® 1731,Couteau de chef 20 cm TWIN® 1731,200,Brun,1,Actuel,"399,00 €","292,07 €","  233,66 € "
1028956,31826-201-0,4009839676727,Couteaux,Couteaux neutre,ZWILLING,COUTEAUX,ZWILLING® 1731,Couteau à pain 20 cm TWIN® 1731,200,Brun,1,Actuel,"329,00 €","240,83 €","  192,66 € "
1028957,31827-181-0,4009839676734,Couteaux,Couteaux neutre,ZWILLING,COUTEAUX,ZWILLING® 1731,Couteau santoku 18 cm TWIN® 1731,180,Brun,1,Actuel,"399,00 €","292,07 €","  233,66 € "
1020217,32579-361-0,4009839645174,Couteaux,Couteaux neutre,ZWILLING,COUTEAUX,ZWILLING® 1731,Fusil tungsten carbide 23 cm TWIN® 1731,230,Brun,1,Actuel,"319,00 €","233,51 €","  186,81 € "
1029925,31840-001-0,4009839681110,Couteaux,Couteaux neutre,ZWILLING,COUTEAUX,ZWILLING® 1731,"Bloc de couteaux, ébène, 7 pcs. TWIN® 1731 
(1020212 Couteau à larder et garnir 100 mm / 1020214 Couteau à trancher 200 mm / 1020215 Couteau de Chef 200 mm / 1020213 Couteau Santoku 18 mm / 1020216 Couteau à pain 200 mm / 1020217 Fusil 230 mm)",275x380x125,Brun,1,Actuel,"1 799,00 €","1 316,87 €","  1 053,50 € "
1001690,31880-100-0,4009839247545,Couteaux,Couteaux neutre,ZWILLING,COUTEAUX,TWIN® 1731,"Bloc vide, ébène pour 5 couteaux TWIN® 1731",275x380x125,Brun,1,Actuel,"299,00 €","218,87 €","  175,10 € "
1026050,30570-101-0,4009839665721,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® TANREI,Couteau à larder et garnir 10 cm ZWILLING® TANREI,100,-,1,Actuel,"279,00 €","204,23 €","  163,38 € "
1026049,30571-141-0,4009839665714,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® TANREI,Couteau de chef compact 14 cm ZWILLING® TANREI,140,-,1,Actuel,"289,00 €","211,55 €","  169,24 € "
1026048,30571-201-0,4009839665707,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® TANREI,Couteau de chef 20 cm ZWILLING® TANREI,200,-,1,Actuel,"349,00 €","255,47 €","  204,38 € "
1026047,30570-231-0,4009839665691,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® TANREI,Couteau à trancher 23 cmZWILLING® TANREI,230,-,1,Actuel,"349,00 €","255,47 €","  204,38 € "
1026046,30576-231-0,4009839665684,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® TANREI,Couteau à pain 23 cm ZWILLING® TANREI,230,-,1,Actuel,"349,00 €","255,47 €","  204,38 € "
1026051,30577-181-0,4009839665738,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® TANREI,Couteau santoku 18 cm ZWILLING® TANREI,180,-,1,Actuel,"349,00 €","255,47 €","  204,38 € "
1002743,38400-091-0,4009839257230,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau à légumes 9 cm ZWILLING® Pro,90,Noir,1,Actuel,"67,95 €","49,74 €","  39,79 € "
1002739,38400-081-0,4009839297274,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau à larder et garnir 8 cm ZWILLING® Pro,80,Noir,1,Actuel,"67,95 €","49,74 €","  39,79 € "
1002747,38400-101-0,4009839257094,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau à larder et garnir 10 cm ZWILLING® Pro,100,Noir,1,Actuel,"67,95 €","49,74 €","  39,79 € "
1002751,38400-131-0,4009839257100,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau universel 13 cm ZWILLING® Pro,130,Noir,1,Actuel,"72,95 €","53,40 €","  42,72 € "
1002821,38410-131-0,4009839345753,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau universel 15.1 13 cm ZWILLING® Pro dents spéciales,130,Noir,1,Actuel,"72,95 €","53,40 €","  42,72 € "
1002754,38400-141-0,4009839330179,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,Couteau de chef compact 14 cm ZWILLING® Pro,140,Noir,1,Actuel,"77,95 €","57,06 €","  45,65 € "
